产品线,售卖端,SKU,GMV,GMV占比
有声线,前端,L1+L2,443740746,35.9%
有声线,后端,攀登复购硬件（硬件复购）,237003387,19.2%
有声线,前端,精英L1,179312240,14.5%
有声线,后端,音频剪辑,96451854.3,7.8%
写作线,前端,AI写作L1,54877710,4.4%
写作线,后端,AI写作L1,47425795,3.8%
有声线,后端,剪辑复购硬件（实物硬件）,38445708,3.1%
有声线,后端,攀登大师班,36847799,3.0%
有声线,后端,其他,21850708.15,1.8%
前端,AI短视频L2,15757120,1.3%
有声线,后端,进阶L2,14047380,1.1%
前端,AI短视频L1,9763660,0.8%
写作线,后端,AI写作L3,7967158,0.6%
IP线,前端,张震IP,7194740,0.6%
短视频线,后端,AI短视频L2,6640200,0.5%
有声线,后端,有声运营课,6463559.4,0.5%
有声线,前端,进阶L2,4003780,0.3%
短视频线,后端,AI短视频L1,3528320,0.3%
有声线,后端,精英L1,1821990,0.1%
有声线,前端,音频剪辑,719901,0.1%
写作线,前端,AI写作L2,480000,0.0%
写作线,后端,AI写作L2,424500,0.0%
